model,target,mae,rmse,r2_score,accuracy_percent,training_time_sec
Linear Regression,CompressorHealth,0.01883955379901981,0.022825920175654237,0.9050096793295169,90.5009679329517,0.014775991439819336
Ridge Regression,CompressorHealth,0.018649843535219916,0.02240191541078538,0.9085059037931428,90.85059037931428,0.004525899887084961
Random Forest,CompressorHealth,0.01752757703010723,0.02184473914447668,0.9130005531226231,91.3000553122623,1.2619385719299316
Extra Trees,CompressorHealth,0.016353842347670892,0.021189916722416487,0.9181382046237594,91.81382046237594,0.8234362602233887
Gradient Boosting,CompressorHealth,0.018846379751965993,0.023627953644336824,0.8982170613069461,89.82170613069461,0.5804436206817627
XGBoost,CompressorHealth,0.018067434834792576,0.0224819399603959,0.9078510623479739,90.78510623479738,0.30608582496643066
LightGBM,CompressorHealth,0.019844737293060234,0.02456704676152063,0.8899655516697271,88.99655516697271,4.460822343826294
CatBoost,CompressorHealth,0.018864337375867117,0.02311786580747608,0.9025642702110664,90.25642702110665,0.7868454456329346
Linear Regression,CombustorHealth,0.013582075324760832,0.01704870400782154,0.7078533314444843,70.78533314444843,0.003526449203491211
Ridge Regression,CombustorHealth,0.013580735964299194,0.01706549271493028,0.7072776654194401,70.72776654194402,0.005551338195800781
Random Forest,CombustorHealth,0.013197118892204164,0.01660262170588336,0.722941459733284,72.29414597332841,1.6923961639404297
Extra Trees,CombustorHealth,0.013040218159529783,0.01622079427157459,0.7355385169688222,73.55385169688222,1.102236270904541
Gradient Boosting,CombustorHealth,0.01360440819909412,0.017371948861813237,0.6966700586223955,69.66700586223955,1.0011968612670898
XGBoost,CombustorHealth,0.013569809197856069,0.017833472778992825,0.680338713420167,68.03387134201671,0.4921863079071045
LightGBM,CombustorHealth,0.013427331912366254,0.016594316236419025,0.7232185877343037,72.32185877343036,0.4247324466705322
CatBoost,CombustorHealth,0.014006854798905156,0.01751597958143132,0.6916193942444753,69.16193942444752,0.717379093170166
Linear Regression,TurbineHealth,0.012457303744229964,0.018408200384094926,0.8885380092633481,88.85380092633481,0.004720449447631836
