model,target,mae,rmse,r2,training_time_sec
Linear Regression,CompressorHealth,0.01883955379901981,0.022825920175654237,0.9050096793295169,0.014755487442016602
Random Forest,CompressorHealth,0.01752757703010723,0.02184473914447668,0.9130005531226231,1.2160396575927734
XGBoost,CompressorHealth,0.018067434834792576,0.0224819399603959,0.9078510623479739,0.7847111225128174
Linear Regression,CombustorHealth,0.013582075324760832,0.01704870400782154,0.7078533314444843,0.0037832260131835938
Random Forest,CombustorHealth,0.013197118892204164,0.01660262170588336,0.722941459733284,1.8171868324279785
XGBoost,CombustorHealth,0.013569809197856069,0.017833472778992825,0.680338713420167,1.390573501586914
Linear Regression,TurbineHealth,0.012457303744229964,0.018408200384094926,0.8885380092633481,0.006228446960449219
Random Forest,TurbineHealth,0.013051378511597028,0.01875994869531774,0.8842376267786313,1.4377844333648682
XGBoost,TurbineHealth,0.014194442469784223,0.02010972140412914,0.8669802164112087,0.7862458229064941
Linear Regression,OverallHealth,0.010307692610979672,0.01527259009605809,0.923039467807655,0.004027366638183594
Random Forest,OverallHealth,0.009833014214903459,0.014722072806945612,0.9284877252243185,1.221409797668457
XGBoost,OverallHealth,0.010396318036017767,0.01538284497461364,0.9219242801094965,0.8081588745117188
Linear Regression,Thrust_N,2920.686092519073,4751.009428224838,0.9069462592606617,0.014396190643310547
Random Forest,Thrust_N,2290.9601323120523,2945.2940511809297,0.9642381998158356,1.2720401287078857
XGBoost,Thrust_N,1942.0063921840876,2367.7500723584512,0.9768882000906851,0.8176097869873047
Linear Regression,TSFC_g_N_s,0.0008259459274655411,0.0011369322271944568,0.9711917677414413,0.010364532470703125
Random Forest,TSFC_g_N_s,0.0007768195327706249,0.0009462854475781557,0.9800431598673379,1.765305995941162
XGBoost,TSFC_g_N_s,0.0005924339173322165,0.0007322617538032466,0.9880496628370959,0.32518458366394043
