iter	Passed	Remaining
0	2	723
1	4	668
2	6	672
3	8	643
4	10	637
5	13	641
6	15	665
7	19	728
8	22	724
9	24	714
10	26	696
11	28	680
12	30	670
13	32	670
14	34	659
15	36	646
16	38	636
17	39	625
18	41	617
19	43	610
20	45	602
21	48	610
22	50	605
23	52	599
24	53	593
25	55	588
26	58	588
27	60	583
28	61	579
29	64	580
30	67	583
31	69	581
32	71	578
33	73	575
34	76	579
35	79	581
36	81	577
37	83	573
38	85	569
39	87	567
40	89	566
41	93	572
42	95	573
43	97	569
44	100	568
45	102	565
46	104	563
47	107	563
48	109	563
49	112	560
50	113	556
51	116	553
52	118	551
53	120	548
54	123	548
55	125	545
56	127	541
57	129	539
58	131	536
59	133	533
60	135	529
61	136	525
62	139	523
63	141	520
64	143	518
65	145	515
66	147	513
67	150	512
68	153	514
69	156	515
70	160	518
71	163	517
72	165	515
73	167	512
74	170	511
75	172	509
76	175	509
77	178	508
78	181	509
79	219	603
80	221	598
81	223	594
82	225	589
83	227	584
84	229	580
85	231	575
86	233	571
87	235	567
88	238	564
89	240	561
90	242	557
91	245	555
92	250	557
93	252	554
94	255	551
95	257	547
96	260	545
97	263	543
98	265	540
99	268	536
100	270	533
101	273	530
102	276	528
103	279	527
104	283	525
105	285	522
106	288	520
107	292	519
108	296	518
109	298	515
110	300	512
111	304	510
112	306	506
113	308	503
114	310	499
115	312	496
116	314	492
117	316	488
118	318	484
119	320	480
120	322	476
121	324	473
122	326	469
123	328	466
124	330	462
125	332	459
126	335	457
127	338	454
128	340	451
129	342	448
130	344	444
131	346	441
132	348	437
133	350	434
134	352	430
135	354	427
136	356	424
137	359	421
138	361	418
139	364	416
140	366	412
141	368	409
142	370	407
143	373	404
144	375	401
145	378	398
146	380	396
147	382	392
148	385	390
149	387	387
150	389	384
151	391	381
152	393	378
153	395	375
154	397	372
155	400	369
156	402	366
157	405	364
158	407	361
159	409	358
160	411	355
161	414	352
162	416	350
163	419	347
164	421	345
165	424	342
166	427	340
167	430	337
168	432	335
169	434	332
170	436	329
171	440	327
172	442	324
173	444	322
174	447	319
175	449	316
176	450	313
177	452	310
178	455	307
179	457	305
180	459	302
181	462	299
182	464	296
183	466	293
184	468	290
185	469	287
186	471	285
187	473	282
188	476	280
189	479	277
190	481	274
191	483	271
192	485	269
193	487	266
194	489	263
195	491	260
196	493	258
197	495	255
198	497	252
199	499	249
200	501	247
201	503	244
202	506	241
203	508	239
204	510	236
205	512	233
206	514	231
207	516	228
208	518	225
209	521	223
210	523	220
211	525	218
212	527	215
213	529	212
214	532	210
215	534	207
216	536	205
217	539	202
218	540	200
219	542	197
220	544	194
221	548	192
222	551	190
223	553	187
224	556	185
225	558	182
226	561	180
227	568	179
228	571	177
229	574	174
230	577	172
231	580	170
232	583	167
233	586	165
234	589	162
235	592	160
236	595	158
237	599	156
238	602	153
239	605	151
240	607	148
241	610	146
242	613	143
243	615	141
244	618	138
245	620	136
246	622	133
247	625	131
248	627	128
249	630	126
250	633	123
251	636	121
252	639	118
253	642	116
254	645	113
255	648	111
256	651	109
257	654	106
258	656	103
259	659	101
260	662	98
261	664	96
262	666	93
263	669	91
264	672	88
265	675	86
266	678	83
267	682	81
268	685	78
269	687	76
270	691	73
271	694	71
272	696	68
273	699	66
274	702	63
275	704	61
276	706	58
277	709	56
278	711	53
279	713	50
280	716	48
281	719	45
282	722	43
283	724	40
284	726	38
285	728	35
286	731	33
287	734	30
288	736	28
289	739	25
290	741	22
291	743	20
292	746	17
293	748	15
294	751	12
295	754	10
296	756	7
297	758	5
298	760	2
299	763	0
